1,0,0,0;2,1,2,0;-1,3,2,1;3,-2,-1,2;-2,-2,0,-3
1,0,0,0;2,18,13,6;4,-14,-5,2;3,4,-6,-14;6,6,12,1
1,0,0,0;2,18,13,7;2,-14,-5,3;6,6,-5,-15;10,6,10,1
1,0,0,0;2,2,-1,-1;-3,-1,2,0;1,1,2,-1;0,1,3,-1
1,0,0,0;2,2,-1,-1;0,-1,0,2;0,-1,-1,-1;-2,-1,-1,-1
1,0,0,0;2,2,0,2;-1,2,2,2;0,0,1,2;-1,0,-1,2
1,0,0,0;2,22,12,8;3,-18,-6,3;4,4,-3,-17;7,2,12,1
1,0,0,0;2,3,1,-1;-1,1,3,2;3,-2,0,2;-1,1,-3,0
1,0,0,0;2,3,4,3;2,-4,1,-1;-1,3,-2,-5;2,2,3,2
1,0,0,0;2,4,1,1;1,-3,0,2;3,0,1,-2;2,1,4,1
1,0,0,0;2,5,1,4;2,-6,-2,-1;1,-1,1,-4;1,2,4,0
1,0,0,0;2,6,1,1;3,-3,1,-1;3,3,-1,-4;2,-1,1,0
1,0,0,0;2,78,46,34;15,-63,-17,14;17,18,-17,-64;32,14,46,1
1,0,0,0;2,78,49,34;15,-66,-14,16;18,17,-17,-66;33,15,49,-1
1,0,0,0;2,79,46,31;16,-63,-15,14;17,17,-17,-63;33,17,49,2
1,0,0,0;2,79,48,32;16,-66,-16,18;16,14,-17,-64;30,15,50,0
