shard 6/8: 63602 of 508818 configurations
  shard 6: d=1281 36314 counted, 0 still rejected, best 727 (9504s)
  shard 6: d=26761 36384 counted, 0 still rejected, best 727 (9529s)
  shard 6: d=53 36453 counted, 0 still rejected, best 727 (9551s)
  shard 6: d=142 36522 counted, 0 still rejected, best 727 (9570s)
  shard 6: d=178 36591 counted, 0 still rejected, best 727 (9587s)
  shard 6: d=214 36660 counted, 0 still rejected, best 727 (9605s)
  shard 6: d=310 36729 counted, 0 still rejected, best 727 (9622s)
  shard 6: d=345 36798 counted, 0 still rejected, best 727 (9639s)
  shard 6: d=633 36867 counted, 0 still rejected, best 727 (9656s)
  shard 6: d=757 36936 counted, 0 still rejected, best 727 (9673s)
  shard 6: d=826 37005 counted, 0 still rejected, best 727 (9690s)
  shard 6: d=865 37074 counted, 0 still rejected, best 727 (9708s)
  shard 6: d=991 37143 counted, 0 still rejected, best 727 (9725s)
  shard 6: d=994 37212 counted, 0 still rejected, best 727 (9742s)
  shard 6: d=1065 37281 counted, 0 still rejected, best 727 (9759s)
  shard 6: d=1145 37350 counted, 0 still rejected, best 727 (9776s)
  shard 6: d=1257 37419 counted, 0 still rejected, best 727 (9793s)
  shard 6: d=1329 37488 counted, 0 still rejected, best 727 (9810s)
  shard 6: d=1561 37557 counted, 0 still rejected, best 727 (9827s)
  shard 6: d=1649 37626 counted, 0 still rejected, best 727 (9844s)
  shard 6: d=1657 37695 counted, 0 still rejected, best 727 (9861s)
  shard 6: d=1689 37764 counted, 0 still rejected, best 727 (9878s)
  shard 6: d=1714 37833 counted, 0 still rejected, best 727 (9896s)
  shard 6: d=2230 37902 counted, 0 still rejected, best 727 (9913s)
  shard 6: d=2311 37971 counted, 0 still rejected, best 727 (9931s)
  shard 6: d=2433 38040 counted, 0 still rejected, best 727 (9948s)
  shard 6: d=2611 38109 counted, 0 still rejected, best 727 (9966s)
  shard 6: d=5017 38178 counted, 0 still rejected, best 727 (9983s)
  shard 6: d=6409 38247 counted, 0 still rejected, best 727 (10001s)
  shard 6: d=7169 38316 counted, 0 still rejected, best 727 (10019s)
  shard 6: d=8049 38385 counted, 0 still rejected, best 727 (10037s)
  shard 6: d=9249 38454 counted, 0 still rejected, best 727 (10054s)
  shard 6: d=9985 38523 counted, 0 still rejected, best 727 (10072s)
  shard 6: d=10465 38592 counted, 0 still rejected, best 727 (10090s)
  shard 6: d=11049 38661 counted, 0 still rejected, best 727 (10108s)
  shard 6: d=11185 38730 counted, 0 still rejected, best 727 (10126s)
  shard 6: d=11545 38799 counted, 0 still rejected, best 727 (10144s)
  shard 6: d=12265 38868 counted, 0 still rejected, best 727 (10161s)
  shard 6: d=18361 38937 counted, 0 still rejected, best 727 (10179s)
  shard 6: d=24169 39006 counted, 0 still rejected, best 727 (10198s)
  shard 6: d=27361 39075 counted, 0 still rejected, best 727 (10216s)
  shard 6: d=606 39143 counted, 0 still rejected, best 727 (10233s)
  shard 6: d=367 39210 counted, 0 still rejected, best 727 (10251s)
  shard 6: d=885 39277 counted, 0 still rejected, best 727 (10268s)
  shard 6: d=21289 39344 counted, 0 still rejected, best 727 (10286s)
  shard 6: d=23305 39409 counted, 0 still rejected, best 727 (10303s)
  shard 6: d=56833 39474 counted, 0 still rejected, best 727 (10320s)
  shard 6: d=2281 39538 counted, 0 still rejected, best 727 (10337s)
  shard 6: d=54409 39602 counted, 0 still rejected, best 727 (10354s)
  shard 6: d=78241 39663 counted, 0 still rejected, best 727 (10370s)
  shard 6: d=21721 39723 counted, 0 still rejected, best 727 (10386s)
  shard 6: d=37241 39781 counted, 0 still rejected, best 727 (10401s)
  shard 6: d=13489 39837 counted, 0 still rejected, best 727 (10416s)
  shard 6: d=79 39891 counted, 0 still rejected, best 727 (10430s)
  shard 6: d=91 39945 counted, 0 still rejected, best 727 (10444s)
  shard 6: d=127 39999 counted, 0 still rejected, best 727 (10459s)
  shard 6: d=209 40053 counted, 0 still rejected, best 727 (10473s)
  shard 6: d=282 40107 counted, 0 still rejected, best 727 (10488s)
  shard 6: d=409 40161 counted, 0 still rejected, best 727 (10502s)
  shard 6: d=434 40215 counted, 0 still rejected, best 727 (10516s)
  shard 6: d=473 40269 counted, 0 still rejected, best 727 (10530s)
  shard 6: d=1093 40323 counted, 0 still rejected, best 727 (10544s)
  shard 6: d=1217 40377 counted, 0 still rejected, best 727 (10558s)
  shard 6: d=1419 40431 counted, 0 still rejected, best 727 (10572s)
  shard 6: d=1677 40485 counted, 0 still rejected, best 727 (10586s)
  shard 6: d=2137 40539 counted, 0 still rejected, best 727 (10601s)
  shard 6: d=2733 40593 counted, 0 still rejected, best 727 (10615s)
  shard 6: d=3151 40647 counted, 0 still rejected, best 727 (10629s)
  shard 6: d=6999 40701 counted, 0 still rejected, best 727 (10644s)
  shard 6: d=11617 40755 counted, 0 still rejected, best 727 (10663s)
  shard 6: d=21697 40809 counted, 0 still rejected, best 727 (10685s)
  shard 6: d=27321 40863 counted, 0 still rejected, best 727 (10741s)
  shard 6: d=130561 40917 counted, 0 still rejected, best 727 (13618s)
  shard 6: d=46 40970 counted, 0 still rejected, best 727 (13630s)
  shard 6: d=385 41023 counted, 0 still rejected, best 727 (13641s)
  shard 6: d=449 41076 counted, 0 still rejected, best 727 (13652s)
  shard 6: d=454 41129 counted, 0 still rejected, best 727 (13663s)
  shard 6: d=746 41182 counted, 0 still rejected, best 727 (13673s)
  shard 6: d=1185 41235 counted, 0 still rejected, best 727 (13683s)
  shard 6: d=2633 41288 counted, 0 still rejected, best 727 (13694s)
  shard 6: d=3369 41341 counted, 0 still rejected, best 727 (13704s)
  shard 6: d=7177 41394 counted, 0 still rejected, best 727 (13715s)
  shard 6: d=8593 41447 counted, 0 still rejected, best 727 (13727s)
  shard 6: d=8857 41500 counted, 0 still rejected, best 727 (13739s)
  shard 6: d=14809 41553 counted, 0 still rejected, best 727 (13752s)
  shard 6: d=17521 41606 counted, 0 still rejected, best 727 (13764s)
  shard 6: d=34129 41659 counted, 0 still rejected, best 727 (13775s)
  shard 6: d=40921 41712 counted, 0 still rejected, best 727 (13787s)
  shard 6: d=51 41764 counted, 0 still rejected, best 727 (13800s)
  shard 6: d=139 41816 counted, 0 still rejected, best 727 (13812s)
  shard 6: d=210 41868 counted, 0 still rejected, best 727 (13823s)
  shard 6: d=353 41920 counted, 0 still rejected, best 727 (13833s)
  shard 6: d=533 41972 counted, 0 still rejected, best 727 (13845s)
  shard 6: d=561 42024 counted, 0 still rejected, best 727 (13857s)
  shard 6: d=689 42076 counted, 0 still rejected, best 727 (13870s)
  shard 6: d=793 42128 counted, 0 still rejected, best 727 (13881s)
  shard 6: d=1129 42180 counted, 0 still rejected, best 727 (13893s)
  shard 6: d=1909 42232 counted, 0 still rejected, best 727 (13905s)
  shard 6: d=2161 42284 counted, 0 still rejected, best 727 (13920s)
  shard 6: d=2473 42336 counted, 0 still rejected, best 727 (13932s)
  shard 6: d=2741 42388 counted, 0 still rejected, best 727 (13950s)
  shard 6: d=2849 42440 counted, 0 still rejected, best 727 (13965s)
  shard 6: d=3409 42492 counted, 0 still rejected, best 727 (13976s)
  shard 6: d=6629 42544 counted, 0 still rejected, best 727 (13988s)
  shard 6: d=6785 42596 counted, 0 still rejected, best 727 (14001s)
  shard 6: d=7849 42648 counted, 0 still rejected, best 727 (14015s)
  shard 6: d=9161 42700 counted, 0 still rejected, best 727 (14027s)
  shard 6: d=25849 42752 counted, 0 still rejected, best 727 (14040s)
  shard 6: d=67 42803 counted, 0 still rejected, best 727 (14052s)
  shard 6: d=123 42854 counted, 0 still rejected, best 727 (14064s)
  shard 6: d=2395 42905 counted, 0 still rejected, best 727 (14077s)
  shard 6: d=2851 42956 counted, 0 still rejected, best 727 (14089s)
  shard 6: d=6689 43007 counted, 0 still rejected, best 727 (14100s)
  shard 6: d=57721 43058 counted, 0 still rejected, best 727 (14112s)
  shard 6: d=129721 43109 counted, 0 still rejected, best 727 (14124s)
  shard 6: d=795 43159 counted, 0 still rejected, best 727 (14136s)
  shard 6: d=6235 43209 counted, 0 still rejected, best 727 (14150s)
  shard 6: d=31945 43259 counted, 0 still rejected, best 727 (14163s)
  shard 6: d=58129 43309 counted, 0 still rejected, best 727 (14177s)
  shard 6: d=435 43358 counted, 0 still rejected, best 727 (14190s)
  shard 6: d=2145 43407 counted, 0 still rejected, best 727 (14203s)
  shard 6: d=52201 43456 counted, 0 still rejected, best 727 (14217s)
  shard 6: d=2329 43504 counted, 0 still rejected, best 727 (14228s)
  shard 6: d=8977 43552 counted, 0 still rejected, best 727 (14240s)
  shard 6: d=29041 43600 counted, 0 still rejected, best 727 (14253s)
  shard 6: d=53833 43648 counted, 0 still rejected, best 727 (14265s)
  shard 6: d=4261 43695 counted, 0 still rejected, best 727 (14278s)
  shard 6: d=17737 43742 counted, 0 still rejected, best 727 (14290s)
  shard 6: d=56809 43789 counted, 0 still rejected, best 727 (14303s)
  shard 6: d=8193 43835 counted, 0 still rejected, best 727 (14314s)
  shard 6: d=14281 43881 counted, 0 still rejected, best 727 (14325s)
  shard 6: d=15529 43927 counted, 0 still rejected, best 727 (14336s)
  shard 6: d=5086 43972 counted, 0 still rejected, best 727 (14347s)
  shard 6: d=27941 44017 counted, 0 still rejected, best 727 (14358s)
  shard 6: d=40609 44062 counted, 0 still rejected, best 727 (14368s)
  shard 6: d=173881 44107 counted, 0 still rejected, best 727 (14380s)
  shard 6: d=3049 44151 counted, 0 still rejected, best 727 (14394s)
  shard 6: d=4497 44195 counted, 0 still rejected, best 727 (14409s)
  shard 6: d=39769 44239 counted, 0 still rejected, best 727 (14423s)
  shard 6: d=14449 44281 counted, 0 still rejected, best 727 (14436s)
  shard 6: d=60841 44323 counted, 0 still rejected, best 727 (14449s)
  shard 6: d=86041 44365 counted, 0 still rejected, best 727 (14463s)
  shard 6: d=23809 44406 counted, 0 still rejected, best 727 (14476s)
  shard 6: d=25561 44447 counted, 0 still rejected, best 727 (14489s)
  shard 6: d=61369 44488 counted, 0 still rejected, best 727 (14502s)
  shard 6: d=9337 44528 counted, 0 still rejected, best 727 (14515s)
  shard 6: d=12529 44568 counted, 0 still rejected, best 727 (14528s)
  shard 6: d=23401 44608 counted, 0 still rejected, best 727 (14541s)
  shard 6: d=86953 44648 counted, 0 still rejected, best 727 (14554s)
  shard 6: d=62841 44687 counted, 0 still rejected, best 727 (14567s)
  shard 6: d=25705 44725 counted, 0 still rejected, best 727 (14580s)
  shard 6: d=53641 44763 counted, 0 still rejected, best 727 (14593s)
  shard 6: d=9601 44800 counted, 0 still rejected, best 727 (14605s)
  shard 6: d=38329 44837 counted, 0 still rejected, best 727 (14618s)
  shard 6: d=69 44873 counted, 0 still rejected, best 727 (14630s)
  shard 6: d=71 44909 counted, 0 still rejected, best 727 (14642s)
  shard 6: d=77 44945 counted, 0 still rejected, best 727 (14655s)
  shard 6: d=86 44981 counted, 0 still rejected, best 727 (14668s)
  shard 6: d=101 45017 counted, 0 still rejected, best 727 (14686s)
  shard 6: d=143 45053 counted, 0 still rejected, best 727 (14700s)
  shard 6: d=238 45089 counted, 0 still rejected, best 727 (14712s)
  shard 6: d=303 45125 counted, 0 still rejected, best 727 (14725s)
  shard 6: d=365 45161 counted, 0 still rejected, best 727 (14738s)
  shard 6: d=483 45197 counted, 0 still rejected, best 727 (14751s)
  shard 6: d=565 45233 counted, 0 still rejected, best 727 (14765s)
  shard 6: d=569 45269 counted, 0 still rejected, best 727 (14778s)
  shard 6: d=643 45305 counted, 0 still rejected, best 727 (14791s)
  shard 6: d=690 45341 counted, 0 still rejected, best 727 (14804s)
  shard 6: d=705 45377 counted, 0 still rejected, best 727 (14818s)
  shard 6: d=715 45413 counted, 0 still rejected, best 727 (14830s)
  shard 6: d=741 45449 counted, 0 still rejected, best 727 (14843s)
  shard 6: d=985 45485 counted, 0 still rejected, best 727 (14857s)
  shard 6: d=1130 45521 counted, 0 still rejected, best 727 (14870s)
  shard 6: d=1167 45557 counted, 0 still rejected, best 727 (14885s)
  shard 6: d=1221 45593 counted, 0 still rejected, best 727 (14897s)
  shard 6: d=1387 45629 counted, 0 still rejected, best 727 (14911s)
  shard 6: d=1435 45665 counted, 0 still rejected, best 727 (14925s)
  shard 6: d=1498 45701 counted, 0 still rejected, best 727 (14939s)
