census n=4 ensemble=mixed shard=a0  (0 already recorded) -> census_n4_mixed_a0.jsonl
   12850 recorded, 13 unevaluable, 561.2/min
   12900 recorded, 14 unevaluable, 561.7/min
   12950 recorded, 14 unevaluable, 562.3/min
   13000 recorded, 14 unevaluable, 563.0/min
   13050 recorded, 14 unevaluable, 563.6/min
   13100 recorded, 14 unevaluable, 564.2/min
   13150 recorded, 14 unevaluable, 564.8/min
   13200 recorded, 14 unevaluable, 565.4/min
   13250 recorded, 14 unevaluable, 566.0/min
   13300 recorded, 14 unevaluable, 566.5/min
   13350 recorded, 14 unevaluable, 567.1/min
   13400 recorded, 14 unevaluable, 567.7/min
   13450 recorded, 14 unevaluable, 568.3/min
   13500 recorded, 14 unevaluable, 568.9/min
   13550 recorded, 14 unevaluable, 569.4/min
   13600 recorded, 14 unevaluable, 570.0/min
   13650 recorded, 14 unevaluable, 570.7/min
   13700 recorded, 14 unevaluable, 571.2/min
   13750 recorded, 14 unevaluable, 571.8/min
   13800 recorded, 14 unevaluable, 572.4/min
   13850 recorded, 14 unevaluable, 572.9/min
   13900 recorded, 14 unevaluable, 573.5/min
   13950 recorded, 14 unevaluable, 574.0/min
   14000 recorded, 14 unevaluable, 574.6/min
   14050 recorded, 14 unevaluable, 575.2/min
   14100 recorded, 15 unevaluable, 575.7/min
   14150 recorded, 15 unevaluable, 576.3/min
   14200 recorded, 15 unevaluable, 576.9/min
   14250 recorded, 15 unevaluable, 577.3/min
   14300 recorded, 15 unevaluable, 577.7/min
   14350 recorded, 15 unevaluable, 578.3/min
   14400 recorded, 15 unevaluable, 578.7/min
   14450 recorded, 15 unevaluable, 579.3/min
   14500 recorded, 15 unevaluable, 579.7/min
   14550 recorded, 15 unevaluable, 580.2/min
   14600 recorded, 15 unevaluable, 580.7/min
   14650 recorded, 15 unevaluable, 581.1/min
   14700 recorded, 15 unevaluable, 581.6/min
   14750 recorded, 16 unevaluable, 581.9/min
   14800 recorded, 16 unevaluable, 582.4/min
   14850 recorded, 17 unevaluable, 582.4/min
   14900 recorded, 17 unevaluable, 582.8/min
   14950 recorded, 17 unevaluable, 583.2/min
   15000 recorded, 17 unevaluable, 583.6/min
   15050 recorded, 17 unevaluable, 583.8/min
   15100 recorded, 17 unevaluable, 584.1/min
   15150 recorded, 17 unevaluable, 584.4/min
   15200 recorded, 17 unevaluable, 584.7/min
   15250 recorded, 17 unevaluable, 585.0/min
   15300 recorded, 17 unevaluable, 585.2/min
   15350 recorded, 17 unevaluable, 585.4/min
   15400 recorded, 17 unevaluable, 585.6/min
   15450 recorded, 17 unevaluable, 585.8/min
   15500 recorded, 17 unevaluable, 586.0/min
   15550 recorded, 17 unevaluable, 586.1/min
   15600 recorded, 17 unevaluable, 586.3/min
   15650 recorded, 17 unevaluable, 586.5/min
   15700 recorded, 17 unevaluable, 586.6/min
