census n=4 ensemble=project shard=a0  (19034 already recorded) -> census_n4_project_a0.jsonl
   19150 recorded, 1 unevaluable, 490.6/min
   19200 recorded, 1 unevaluable, 490.6/min
   19250 recorded, 1 unevaluable, 490.5/min
   19300 recorded, 1 unevaluable, 490.4/min
   19350 recorded, 1 unevaluable, 490.3/min
   19400 recorded, 1 unevaluable, 490.3/min
   19450 recorded, 1 unevaluable, 490.2/min
   19500 recorded, 1 unevaluable, 490.0/min
   19550 recorded, 1 unevaluable, 489.9/min
   19600 recorded, 1 unevaluable, 489.8/min
   19650 recorded, 1 unevaluable, 489.7/min
   19700 recorded, 1 unevaluable, 489.7/min
   19750 recorded, 1 unevaluable, 489.5/min
   19800 recorded, 1 unevaluable, 489.4/min
   19850 recorded, 1 unevaluable, 489.3/min
   19900 recorded, 1 unevaluable, 489.3/min
   19950 recorded, 1 unevaluable, 489.2/min
   20000 recorded, 1 unevaluable, 489.0/min
   20050 recorded, 1 unevaluable, 488.8/min
   20100 recorded, 1 unevaluable, 488.6/min
   20150 recorded, 1 unevaluable, 488.3/min
   20200 recorded, 1 unevaluable, 488.2/min
   20250 recorded, 1 unevaluable, 488.0/min
   20300 recorded, 1 unevaluable, 488.0/min
   20350 recorded, 1 unevaluable, 488.0/min
   20400 recorded, 1 unevaluable, 488.0/min
   20450 recorded, 1 unevaluable, 488.0/min
   20500 recorded, 1 unevaluable, 488.0/min
   20550 recorded, 1 unevaluable, 487.9/min
   20600 recorded, 1 unevaluable, 487.7/min
   20650 recorded, 1 unevaluable, 487.6/min
   20700 recorded, 1 unevaluable, 487.6/min
   20750 recorded, 1 unevaluable, 487.6/min
   20800 recorded, 1 unevaluable, 487.6/min
   20850 recorded, 1 unevaluable, 487.6/min
   20900 recorded, 1 unevaluable, 487.5/min
   20950 recorded, 1 unevaluable, 487.6/min
   21000 recorded, 1 unevaluable, 487.6/min
   21050 recorded, 1 unevaluable, 487.6/min
   21100 recorded, 1 unevaluable, 487.3/min
   21150 recorded, 1 unevaluable, 487.1/min
   21200 recorded, 1 unevaluable, 487.1/min
   21250 recorded, 1 unevaluable, 486.9/min
   21300 recorded, 1 unevaluable, 486.3/min
   21350 recorded, 1 unevaluable, 485.8/min
   21400 recorded, 1 unevaluable, 485.4/min
   21450 recorded, 1 unevaluable, 485.0/min
   21500 recorded, 1 unevaluable, 484.7/min
   21550 recorded, 1 unevaluable, 484.5/min
   21600 recorded, 1 unevaluable, 484.3/min
   21650 recorded, 1 unevaluable, 484.0/min
   21700 recorded, 1 unevaluable, 483.8/min
   21750 recorded, 1 unevaluable, 483.7/min
   21800 recorded, 1 unevaluable, 483.7/min
   21850 recorded, 1 unevaluable, 483.4/min
   21900 recorded, 1 unevaluable, 483.4/min
   21950 recorded, 1 unevaluable, 483.2/min
   22000 recorded, 1 unevaluable, 483.3/min
   22050 recorded, 1 unevaluable, 483.2/min
   22100 recorded, 1 unevaluable, 483.1/min
   22150 recorded, 1 unevaluable, 483.0/min
   22200 recorded, 1 unevaluable, 483.0/min
   22250 recorded, 1 unevaluable, 482.8/min
   22300 recorded, 1 unevaluable, 482.7/min
   22350 recorded, 1 unevaluable, 482.7/min
   22400 recorded, 1 unevaluable, 482.6/min
   22450 recorded, 1 unevaluable, 482.6/min
   22500 recorded, 1 unevaluable, 482.7/min
   22550 recorded, 1 unevaluable, 482.6/min
   22600 recorded, 1 unevaluable, 482.5/min
   22650 recorded, 1 unevaluable, 482.4/min
   22700 recorded, 1 unevaluable, 482.3/min
   22750 recorded, 1 unevaluable, 482.3/min
   22800 recorded, 1 unevaluable, 482.2/min
   22850 recorded, 1 unevaluable, 482.1/min
   22900 recorded, 1 unevaluable, 482.1/min
   22950 recorded, 1 unevaluable, 482.1/min
   23000 recorded, 1 unevaluable, 481.9/min
   23050 recorded, 1 unevaluable, 481.1/min
   23100 recorded, 1 unevaluable, 481.3/min
   23150 recorded, 1 unevaluable, 481.5/min
   23200 recorded, 1 unevaluable, 481.9/min
