preloaded 0 memoized evals
=== deepsweep: 48 starts x 3 plain objectives + 10 strata ===
  stratum(140, 102, 36):record723: converged it=4 total=593 by_depth={0: 1, 1: 162, 2: 180, 3: 134, 4: 84, 5: 32, 6: 1} score=342.0
  stratum(140, 102, 36):record717: converged it=3 total=585 by_depth={0: 1, 1: 146, 2: 182, 3: 138, 4: 86, 5: 32, 6: 1} score=328.0
-- stratum (140, 102, 36) best: total=593 d1+d2=342 by_depth={0: 1, 1: 162, 2: 180, 3: 134, 4: 84, 5: 32, 6: 1}
  stratum(164, 102, 30):record723: converged it=2 total=393 by_depth={0: 1, 1: 126, 2: 108, 3: 80, 4: 54, 5: 24, 6: 1} score=234.0
  stratum(164, 102, 30):record717: converged it=3 total=387 by_depth={0: 1, 1: 102, 2: 120, 3: 86, 4: 54, 5: 24, 6: 1} score=222.0
-- stratum (164, 102, 30) best: total=393 d1+d2=234 by_depth={0: 1, 1: 126, 2: 108, 3: 80, 4: 54, 5: 24, 6: 1}
  stratum(130, 80, 36):record723: converged it=2 total=393 by_depth={0: 1, 1: 126, 2: 108, 3: 80, 4: 54, 5: 24, 6: 1} score=234.0
  stratum(130, 80, 36):record717: converged it=3 total=387 by_depth={0: 1, 1: 102, 2: 120, 3: 86, 4: 54, 5: 24, 6: 1} score=222.0
-- stratum (130, 80, 36) best: total=393 d1+d2=234 by_depth={0: 1, 1: 126, 2: 108, 3: 80, 4: 54, 5: 24, 6: 1}

=== SUMMARY (elapsed 516s, 20032 exact evals) ===
overall best total seen: 723
overall best d1+d2 seen: 430
overall best d1 seen: 226
CHAMPION d1d2: total=719 score=430.0 by_depth={0: 1, 1: 214, 2: 216, 3: 158, 4: 94, 5: 36, 6: 1} quats=[[4, 1, 1, -1], [3, 3, 7, 3], [5, -1, -5, -5], [2, 1, 1, 1], [1, 1, 1, 1], [5, 19, -11, -1]]
CHAMPION total: total=723 score=723.0 by_depth={0: 1, 1: 210, 2: 216, 3: 164, 4: 96, 5: 36, 6: 1} quats=[[4, 1, 1, -1], [3, 3, 7, 3], [5, -1, -5, -5], [2, 1, 1, 1], [1, 1, 1, 1], [5, 2, 2, 2]]
CHAMPION d1: total=679 score=226.0 by_depth={0: 1, 1: 226, 2: 192, 3: 134, 4: 90, 5: 36, 6: 1} quats=[[4, 1, 1, -1], [1, 1, 2, 1], [5, -1, -5, -5], [2, 1, 1, 1], [1, 1, 1, 1], [13, -6, 6, -5]]
