1,0,0,0;-2,79,48,31;18,-62,-16,16;16,16,-16,-64
1,0,0,0;-2,79,50,34;17,-66,-17,15;18,15,-14,-65
1,0,0,0;-2,80,47,32;16,-66,-16,14;15,16,-14,-62
1,0,0,0;-2,81,46,31;15,-63,-16,14;17,18,-16,-62
1,0,0,0;-2,81,49,30;16,-63,-17,15;16,17,-16,-63
1,0,0,0;-2,82,47,33;16,-63,-14,17;16,17,-14,-66
1,0,0,0;-20,31,-1,-54;20,44,51,-19;-55,-23,34,-24
1,0,0,0;-22,39,8,-25;53,39,35,26;-24,-26,-5,-17
1,0,0,0;-27,-10,-23,16;46,24,-7,57;27,-13,45,35
1,0,0,0;-29,37,-44,-45;-25,60,11,-59;-60,-13,-24,46
1,0,0,0;-3,-1,0,0;2,1,-3,0;2,1,-2,-2
1,0,0,0;-3,-2,1,-1;-1,2,-2,0;-2,-2,-1,-2
1,0,0,0;-3,-39,6,26;-13,-3,-22,35;60,-7,-29,36
1,0,0,0;-3,0,-1,-2;0,-2,-3,-2;3,-1,-1,3
1,0,0,0;-3,0,2,2;-2,3,-3,-3;0,1,-3,1
1,0,0,0;-3,1,1,-2;1,-5,3,1;5,-5,2,-5
1,0,0,0;-3,2,0,3;-3,4,3,3;2,4,-5,-4
1,0,0,0;-3,3,0,-4;5,1,-2,-5;4,1,-4,-2
1,0,0,0;-3,4,-3,4;2,3,-3,-5;3,0,3,-3
1,0,0,0;-3,5,4,-2;4,5,-3,-4;2,-4,4,-3
1,0,0,0;-32,4,-2,-36;0,18,-30,54;-40,44,-34,36
1,0,0,0;-34,45,-54,35;21,21,-52,50;-36,-12,-28,-4
1,0,0,0;-37,22,-36,-57;35,15,-12,28;29,-55,8,25
1,0,0,0;-4,-1,3,-2;-1,1,0,-2;3,0,-1,0
1,0,0,0;-4,-5,-4,-3;0,-3,-1,4;5,3,-3,-4
1,0,0,0;-4,3,-1,-2;2,-5,-1,4;4,-4,4,0
1,0,0,0;-4,5,3,-5;4,-3,5,-4;-2,4,-2,3
1,0,0,0;-41,36,-24,-54;49,56,-57,-39;9,47,57,17
1,0,0,0;-43,-7,20,18;18,35,-57,11;13,-50,32,22
1,0,0,0;-47,-29,-57,47;-37,-22,48,32;35,49,11,40
1,0,0,0;-49,33,-58,-37;36,52,0,-18;-24,50,29,-51
1,0,0,0;-5,-2,4,-2;4,-4,1,-3;5,-4,-5,4
1,0,0,0;-5,-5,-4,-2;-1,-5,2,3;-2,-2,-2,-4
1,0,0,0;-5,1,1,-4;-5,5,-4,-3;2,1,5,3
1,0,0,0;-5,5,0,0;5,-1,2,2;-3,-4,3,0
1,0,0,0;-52,5,-33,-28;60,-25,-33,-11;-18,39,0,50
1,0,0,0;-55,-34,-44,-24;50,35,-47,44;36,2,10,-60
1,0,0,0;-57,-5,16,-45;48,-34,-24,-19;-18,-43,-4,-35
1,0,0,0;-59,23,36,47;1,3,19,-58;-41,3,59,-36
1,0,0,0;-7,0,-38,53;-52,-4,-10,2;-43,5,36,45
1,0,0,0;0,-1,-1,-1;0,-1,0,-1;0,0,-1,1
1,0,0,0;0,-1,-1,0;0,1,0,1;-1,-1,1,0
1,0,0,0;0,-1,-1,1;1,0,0,-1;-1,0,-1,-1
1,0,0,0;0,-1,0,0;-1,0,-1,0;1,0,-1,0
1,0,0,0;0,-1,0,1;-1,-1,1,-1;0,1,-1,1
1,0,0,0;0,-1,1,-1;-2,-1,0,-1;2,2,0,-1
1,0,0,0;0,-1,1,1;1,1,0,-2;-1,-2,1,1
1,0,0,0;0,-2,-1,-2;2,-2,3,-2;2,0,1,-3
1,0,0,0;0,-2,-2,0;-2,2,-1,-2;0,-2,1,-2
1,0,0,0;0,-2,0,-2;-3,3,2,-1;3,2,3,-2
1,0,0,0;0,-3,-1,2;2,0,3,-1;-1,0,-2,-3
1,0,0,0;0,-3,1,2;-2,2,2,2;0,-3,0,1
1,0,0,0;0,-5,-3,5;3,2,4,2;2,0,2,-3
1,0,0,0;0,0,-1,-1;1,0,1,0;-1,-1,1,-1
1,0,0,0;0,0,-1,1;0,-1,-1,0;1,0,0,0
1,0,0,0;0,0,-3,-4;5,3,3,-4;5,1,-4,-2
1,0,0,0;0,0,0,1;0,0,1,1;-1,0,0,0
1,0,0,0;0,0,1,0;-1,-1,1,0;0,1,1,1
1,0,0,0;0,0,1,1;0,1,-1,-1;-1,0,-1,1
1,0,0,0;0,0,3,-1;-3,1,-2,1;-1,-2,-1,3
1,0,0,0;0,1,-1,-1;1,0,-1,0;-1,0,0,-1
1,0,0,0;0,1,-1,0;1,-1,0,0;-1,1,0,1
1,0,0,0;0,1,-1,1;1,1,0,-1;1,1,1,1
1,0,0,0;0,1,-2,3;-3,-3,-1,-3;-2,-2,0,0
1,0,0,0;0,1,0,0;-1,1,1,0;0,-1,0,-1
1,0,0,0;0,1,0,1;0,0,0,1;1,1,1,-1
1,0,0,0;0,1,1,-1;-1,0,1,-1;0,1,-1,-1
1,0,0,0;0,1,1,-1;2,0,-2,0;-1,0,-1,-2
1,0,0,0;0,1,1,1;1,-1,1,1;0,0,1,1
1,0,0,0;0,1,5,-1;-5,1,5,3;0,1,2,0
1,0,0,0;0,18,12,9;6,-17,-5,2;6,3,-5,-14
1,0,0,0;0,19,10,7;2,-17,-4,6;2,3,-2,-14
1,0,0,0;0,19,12,6;5,-14,-5,3;5,2,-5,-16
1,0,0,0;0,2,-2,-1;-1,-2,1,1;0,-1,0,2
