census n=4 ensemble=axis shard=a0  (23185 already recorded) -> census_n4_axis_a0.jsonl
   18450 recorded, 0 unevaluable, 603.3/min
   18500 recorded, 0 unevaluable, 603.4/min
   18550 recorded, 0 unevaluable, 603.3/min
   18600 recorded, 0 unevaluable, 603.2/min
   18650 recorded, 0 unevaluable, 603.0/min
   18700 recorded, 0 unevaluable, 603.2/min
   18750 recorded, 0 unevaluable, 602.9/min
   18800 recorded, 0 unevaluable, 602.9/min
   18850 recorded, 0 unevaluable, 603.0/min
   18900 recorded, 0 unevaluable, 603.0/min
   18950 recorded, 0 unevaluable, 603.1/min
   19000 recorded, 0 unevaluable, 603.2/min
   19050 recorded, 0 unevaluable, 603.4/min
   19100 recorded, 0 unevaluable, 603.6/min
   19150 recorded, 0 unevaluable, 603.7/min
   19200 recorded, 0 unevaluable, 603.8/min
   19250 recorded, 0 unevaluable, 603.9/min
   19300 recorded, 0 unevaluable, 603.9/min
   19350 recorded, 0 unevaluable, 604.0/min
   19400 recorded, 0 unevaluable, 604.0/min
   19450 recorded, 0 unevaluable, 603.9/min
   19500 recorded, 0 unevaluable, 603.5/min
   19550 recorded, 0 unevaluable, 603.1/min
   19600 recorded, 0 unevaluable, 603.0/min
   19650 recorded, 0 unevaluable, 603.0/min
   19700 recorded, 0 unevaluable, 602.9/min
   19750 recorded, 0 unevaluable, 602.8/min
   19800 recorded, 0 unevaluable, 602.5/min
   19850 recorded, 0 unevaluable, 601.7/min
   19900 recorded, 0 unevaluable, 601.0/min
   19950 recorded, 0 unevaluable, 600.7/min
   20000 recorded, 0 unevaluable, 600.5/min
   20050 recorded, 0 unevaluable, 600.4/min
   20100 recorded, 0 unevaluable, 600.3/min
   20150 recorded, 0 unevaluable, 600.4/min
   20200 recorded, 0 unevaluable, 600.3/min
   20250 recorded, 0 unevaluable, 600.3/min
   20300 recorded, 0 unevaluable, 600.3/min
   20350 recorded, 0 unevaluable, 600.1/min
   20400 recorded, 0 unevaluable, 600.1/min
   20450 recorded, 0 unevaluable, 600.2/min
   20500 recorded, 0 unevaluable, 600.1/min
   20550 recorded, 0 unevaluable, 600.1/min
   20600 recorded, 0 unevaluable, 600.0/min
   20650 recorded, 0 unevaluable, 599.8/min
   20700 recorded, 0 unevaluable, 600.0/min
   20750 recorded, 0 unevaluable, 599.8/min
   20800 recorded, 0 unevaluable, 599.8/min
   20850 recorded, 0 unevaluable, 599.8/min
   20900 recorded, 0 unevaluable, 599.6/min
   20950 recorded, 0 unevaluable, 599.6/min
   21000 recorded, 0 unevaluable, 599.8/min
   21050 recorded, 0 unevaluable, 599.9/min
   21100 recorded, 0 unevaluable, 599.9/min
   21150 recorded, 0 unevaluable, 599.9/min
   21200 recorded, 0 unevaluable, 599.9/min
   21250 recorded, 0 unevaluable, 599.8/min
   21300 recorded, 0 unevaluable, 599.8/min
   21350 recorded, 0 unevaluable, 597.8/min
   21400 recorded, 0 unevaluable, 596.1/min
   21450 recorded, 0 unevaluable, 594.9/min
   21500 recorded, 0 unevaluable, 594.2/min
   21550 recorded, 0 unevaluable, 594.1/min
   21600 recorded, 0 unevaluable, 594.0/min
   21650 recorded, 0 unevaluable, 594.1/min
   21700 recorded, 0 unevaluable, 594.2/min
   21750 recorded, 0 unevaluable, 594.1/min
   21800 recorded, 0 unevaluable, 594.2/min
   21850 recorded, 0 unevaluable, 594.2/min
