1,0,0,0;4,5,0,0;3,0,6,0
1,0,0,0;4,5,6,2;4,-5,-5,5
1,0,0,0;4,6,0,0;2,0,0,1
1,0,0,0;40,-56,6,-23;4,45,48,21
1,0,0,0;42,12,-49,-39;-24,36,-36,-29
1,0,0,0;43,-5,4,-4;32,-27,49,42
1,0,0,0;5,-39,-12,-28;-29,-40,3,28
1,0,0,0;5,-4,4,-5;-3,5,2,-4
1,0,0,0;5,-6,0,0;2,0,0,0
1,0,0,0;5,0,-4,0;3,1,0,0
1,0,0,0;5,0,0,-1;3,0,3,0
1,0,0,0;5,0,0,-4;6,0,-4,0
1,0,0,0;5,0,0,4;3,0,6,0
1,0,0,0;5,2,2,3;6,-6,-5,3
1,0,0,0;5,3,3,6;6,-2,-2,2
1,0,0,0;5,4,4,2;4,-4,-3,2
1,0,0,0;5,5,0,0;1,0,6,0
1,0,0,0;5,6,2,5;6,-4,-5,6
1,0,0,0;5,6,3,3;3,-3,-3,4
1,0,0,0;52,-37,-19,-41;17,-58,17,3
1,0,0,0;6,0,-2,0;2,0,-1,0
1,0,0,0;6,0,-2,0;3,0,0,4
1,0,0,0;6,0,0,-2;1,6,0,0
1,0,0,0;6,0,0,-3;1,0,0,4
1,0,0,0;6,0,0,0;5,0,-2,0
1,0,0,0;6,0,0,3;5,0,0,-3
1,0,0,0;6,2,3,2;3,-5,-3,6
1,0,0,0;6,2,4,4;3,-4,-4,5
1,0,0,0;6,3,4,6;4,-2,-5,4
1,0,0,0;6,3,5,3;4,-5,-4,6
1,0,0,0;6,4,2,3;5,-5,-6,5
1,0,0,0;6,4,3,4;6,-5,-6,2
1,0,0,0;6,6,2,5;5,-6,-2,6
1,0,0,0;6,6,6,3;6,-5,-2,3
